N,K,Distance Metric,Time (s)
100.0,3.0,Ours,0.03664517402648926
100.0,4.0,Ours,0.04793190956115723
100.0,5.0,Ours,0.06534481048583984
100.0,6.0,Ours,0.06971025466918945
100.0,7.0,Ours,0.08164787292480469
1000.0,3.0,Ours,0.370621919631958
1000.0,4.0,Ours,0.48947811126708984
1000.0,5.0,Ours,0.6277570724487305
1000.0,6.0,Ours,0.7088220119476318
1000.0,7.0,Ours,0.7802340984344482
10000.0,3.0,Ours,3.791290044784546
10000.0,4.0,Ours,4.847498893737793
10000.0,5.0,Ours,5.72177791595459
10000.0,6.0,Ours,6.68379282951355
10000.0,7.0,Ours,7.79570198059082
100000.0,3.0,Ours,36.50352692604065
100000.0,4.0,Ours,46.548760652542114
100000.0,5.0,Ours,56.918205976486206
100000.0,6.0,Ours,66.41521501541138
100000.0,7.0,Ours,77.8314139842987
100.0,3.0,Euclidean,0.012227058410644531
100.0,4.0,Euclidean,0.014513731002807617
100.0,5.0,Euclidean,0.034011125564575195
100.0,6.0,Euclidean,0.019128084182739258
100.0,7.0,Euclidean,0.022629737854003906
1000.0,3.0,Euclidean,0.12341785430908203
1000.0,4.0,Euclidean,0.14697480201721191
1000.0,5.0,Euclidean,0.29355406761169434
1000.0,6.0,Euclidean,0.1929481029510498
1000.0,7.0,Euclidean,0.2886691093444824
10000.0,3.0,Euclidean,1.3189303874969482
10000.0,4.0,Euclidean,1.4923830032348633
10000.0,5.0,Euclidean,1.667060136795044
10000.0,6.0,Euclidean,1.8960928916931152
10000.0,7.0,Euclidean,2.086775064468384
100000.0,3.0,Euclidean,12.1058030128479
100000.0,4.0,Euclidean,14.581247091293335
100000.0,5.0,Euclidean,16.919686794281006
100000.0,6.0,Euclidean,18.912050247192383
100000.0,7.0,Euclidean,21.301405906677246
